question,answer,,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.
 
 Task:
 From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
 You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
 If none satisfy, output an empty line.
 
 SMILES:
 CCN(CC)CCNC(=O)c1c(C)[nH]c2c1CCC/C2=C1/C(=O)Nc2ccc(Cl)cc21
 Cc1[nH]c2c(c1C(=O)N1CCC[C@H]1CN1CCCC1)CCC/C2=C1/C(=O)Nc2ccc(F)cc21
 Cc1[nH]c2c(c1C(=O)N1CCOCC1)CCC/C2=C1/C(=O)Nc2ccc(F)cc21
 CCN(CC)CCNC(=O)c1c(C)[nH]c2c1CCC/C2=C1/C(=O)Nc2ccc(C)cc21
 CCN(CC)CCNC(=O)c1c(C)[nH]c2c1CCC/C2=C1/C(=O)Nc2ccc(S(=O)(=O)N(CC)CC)cc21
 CCN(CC)CC(O)CNC(=O)c1c(C)[nH]c2c1CCC/C2=C1/C(=O)Nc2ccc(F)cc21
 Cc1[nH]c2c(c1C(=O)NCCN1CCOCC1)CCC/C2=C1/C(=O)Nc2ccc(F)cc21
 Cc1[nH]c2c(c1C(=O)NCCCN1CCCC1)CCC/C2=C1/C(=O)Nc2ccc(F)cc21
 Cc1[nH]c2c(c1C(=O)NCCN1CCCCC1)CCC/C2=C1/C(=O)Nc2ccc(F)cc21
 Cc1[nH]c2c(c1C(=O)NCCc1ccccn1)CCC/C2=C1/C(=O)Nc2ccc(F)cc21
 
 Constraints:
 1) Lipinski Rule of Five MUST ALL be satisfied:
  - MolWt <= 500
  - NumHDonors <= 5
  - NumHAcceptors <= 10
  - MolLogP <= 5
 2) Additional constraints:
  - TPSA <= 77.23
  - RotB <= 5.4
 
 Output format:
 Print each satisfying SMILES on its own line, and nothing else.","Cc1[nH]c2c(c1C(=O)N1CCC[C@H]1CN1CCCC1)CCC/C2=C1/C(=O)Nc2ccc(F)cc21
 Cc1[nH]c2c(c1C(=O)N1CCOCC1)CCC/C2=C1/C(=O)Nc2ccc(F)cc21
 Cc1[nH]c2c(c1C(=O)NCCCN1CCCC1)CCC/C2=C1/C(=O)Nc2ccc(F)cc21
 Cc1[nH]c2c(c1C(=O)NCCN1CCCCC1)CCC/C2=C1/C(=O)Nc2ccc(F)cc21",,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.
 
 Task:
 From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
 You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
 If none satisfy, output an empty line.
 
 SMILES:
 CC1=C(CSC(=S)N2CCCCC2)C(=O)c2ccccc2C1=O
 CC1=C(SC(=S)N2CCOCC2)C(=O)c2ccccc2C1=O
 CC1=C(CSC(=S)N2CCSC2)C(=O)c2ccccc2C1=O
 CCN(CC)C(=S)SCC1=C(C)C(=O)c2ccccc2C1=O
 CCN(CC)C(=S)SCC1=CC(=O)c2ccccc2C1=O
 CCCN(CCC)C(=S)SCC1=C(C)C(=O)c2ccccc2C1=O
 C=CCN(CC=C)C(=S)SCC1=C(C)C(=O)c2ccccc2C1=O
 CC1=C(CSC(=S)N2CCN(C)CC2)C(=O)c2ccccc2C1=O
 O=C1C=C(CSC(=S)N2CCN(c3ccccc3)CC2)C(=O)c2ccccc21
 CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O
 
 Constraints:
 1) Lipinski Rule of Five MUST ALL be satisfied:
  - MolWt <= 500
  - NumHDonors <= 5
  - NumHAcceptors <= 10
  - MolLogP <= 5
 2) Additional constraints:
  - MolWt <= 347.5
  - RotB <= 2.0
 
 Output format:
 Print each satisfying SMILES on its own line, and nothing else.","CC1=C(CSC(=S)N2CCCCC2)C(=O)c2ccccc2C1=O
 CC1=C(SC(=S)N2CCOCC2)C(=O)c2ccccc2C1=O",,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.
 
 Task:
 From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
 You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
 If none satisfy, output an empty line.
 
 SMILES:
 Cc1cnn(CC(=O)c2ccc(O)c(O)c2)c1
 Cc1nc(Br)cn1CC(=O)c1ccc(O)c(O)c1
 Cc1cc2ncn(CC(=O)c3ccc(O)c(O)c3)c2cc1C
 O=C(Cn1cnc2ccccc21)c1ccc(O)c(O)c1
 O=C(CNc1nc2ccccc2[nH]1)c1ccc(O)c(O)c1
 Cc1nccn1CC(=O)c1ccc(O)c(O)c1
 COc1ccc2c(c1OC)C(=O)OC2CC(=O)c1ccc(O)c(O)c1
 O=C(Cn1cnnc1)c1ccc(O)c(O)c1
 CCc1nccn1CC(=O)c1ccc(O)c(O)c1
 Cn1c(SCC(=O)c2ccc(O)c(O)c2)nnc1-c1ccccc1
 
 Constraints:
 1) Lipinski Rule of Five MUST ALL be satisfied:
  - MolWt <= 500
  - NumHDonors <= 5
  - NumHAcceptors <= 10
  - MolLogP <= 5
 2) Additional constraints:
  - MolWt >= 259.47
  - RotB >= 3.0
  - MolLogP >= 2.26
 
 Output format:
 Print each satisfying SMILES on its own line, and nothing else.","Cc1cc2ncn(CC(=O)c3ccc(O)c(O)c3)c2cc1C
 O=C(Cn1cnc2ccccc21)c1ccc(O)c(O)c1
 O=C(CNc1nc2ccccc2[nH]1)c1ccc(O)c(O)c1
 COc1ccc2c(c1OC)C(=O)OC2CC(=O)c1ccc(O)c(O)c1
 Cn1c(SCC(=O)c2ccc(O)c(O)c2)nnc1-c1ccccc1",,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.
 
 Task:
 From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
 You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
 If none satisfy, output an empty line.
 
 SMILES:
 O=C(O)Cc1cccc(NC(=O)c2ccccc2NC(=O)c2ccc(SC(F)(F)F)cc2)c1
 O=C(O)c1cccc(NC(=O)c2cc(Cl)ccc2NC(=O)c2ccc(C(F)(F)F)cc2)c1
 COc1ccc(C(=O)O)cc1NC(=O)c1ccccc1NC(=O)c1ccc(C(C)(C)C)cc1
 CC(C)(C)c1ccc(C(=O)Nc2ccccc2C(=O)Nc2cccc(C(=O)O)c2)cc1
 CC(C)(C)c1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2cccc(C(=O)O)c2)cc1
 CC(C)(C)c1ccc(C(=O)Nc2ccccc2C(=O)Nc2cccc(CC(=O)O)c2)cc1
 O=C(O)Cc1cccc(NC(=O)c2ccccc2NC(=O)c2ccc3ccccc3c2)c1
 CC(C)(C)c1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(Cl)c(C(=O)O)c2)cc1
 CC(C)(C)c1ccc(C(=O)Nc2ccccc2C(=O)Nc2cccc(CCC(=O)O)c2)cc1
 Cc1c(NC(=O)c2ccccc2NC(=O)c2ccc(C(C)(C)C)cc2)cccc1C(=O)O
 
 Constraints:
 1) Lipinski Rule of Five MUST ALL be satisfied:
  - MolWt <= 500
  - NumHDonors <= 5
  - NumHAcceptors <= 10
  - MolLogP <= 5
 2) Additional constraints:
  - MolWt <= 445.52
  - TPSA <= 95.5
 
 Output format:
 Print each satisfying SMILES on its own line, and nothing else.",O=C(O)Cc1cccc(NC(=O)c2ccccc2NC(=O)c2ccc3ccccc3c2)c1,,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.
 
 Task:
 From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
 You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
 If none satisfy, output an empty line.
 
 SMILES:
 O=C(O)CCc1ccc(NC(=O)c2nnc(Cc3cccc(F)c3)s2)cc1
 COc1ccc(C(Cc2nnc(C(=O)Nc3ccc(CCC(=O)O)cc3)s2)c2ccccc2)cc1
 O=C(O)CCc1ccc(NC(=O)c2nnc(Cc3ccccc3)s2)cc1
 O=C(O)CCc1ccc(NC(=O)c2nnc(COc3ccc(F)cc3)s2)cc1
 COc1ccc(OCc2nnc(C(=O)Nc3ccc(CCC(=O)O)cc3)s2)cc1
 O=C(O)CCc1ccc(NC(=O)c2nnc(COc3cccc(Cl)c3)s2)cc1
 O=C(O)CCc1ccc(NC(=O)c2nnc(CC(c3ccccc3)c3ccccc3F)s2)cc1
 Cc1cccc(OCc2nnc(C(=O)Nc3ccc(CCC(=O)O)cc3)s2)c1
 O=C(O)CCc1ccc(NC(=O)c2nnc(COc3cccc(C(F)(F)F)c3)s2)cc1
 O=C(O)CCc1ccc(NC(=O)c2nnc(CC(c3ccccc3)c3ccc4c(c3)OCO4)s2)cc1
 
 Constraints:
 1) Lipinski Rule of Five MUST ALL be satisfied:
  - MolWt <= 500
  - NumHDonors <= 5
  - NumHAcceptors <= 10
  - MolLogP <= 5
 2) Additional constraints:
  - RotB <= 8.4
  - MolLogP <= 3.53
 
 Output format:
 Print each satisfying SMILES on its own line, and nothing else.","O=C(O)CCc1ccc(NC(=O)c2nnc(Cc3ccccc3)s2)cc1
 O=C(O)CCc1ccc(NC(=O)c2nnc(COc3ccc(F)cc3)s2)cc1",,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.
 
 Task:
 From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
 You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
 If none satisfy, output an empty line.
 
 SMILES:
 Cc1cc(F)ccc1OCc1cc(C(=O)O)cc(N2CCOCC2)n1
 Cc1cc(F)ccc1NCc1cc(CO)cc(N2CCOCC2)n1
 Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(N2CCOCC2)n1
 Cc1cc(F)ccc1NCc1cc(C=O)cc(N2CCOCC2)n1
 O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12
 Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(-c2ccc(O)cc2)n1
 Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(-c2cccc(O)c2)n1
 Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(NCCO)n1
 CCOC(=O)c1ccnc(N2CCOCC2)c1
 O=C(O)c1ccnc(N2CCOCC2)c1
 
 Constraints:
 1) Lipinski Rule of Five MUST ALL be satisfied:
  - MolWt <= 500
  - NumHDonors <= 5
  - NumHAcceptors <= 10
  - MolLogP <= 5
 2) Additional constraints:
  - MolWt <= 325.36
  - TPSA >= 67.28
 
 Output format:
 Print each satisfying SMILES on its own line, and nothing else.",Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(NCCO)n1,,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.
 
 Task:
 From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
 You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
 If none satisfy, output an empty line.
 
 SMILES:
 Cc1cccc(CN(C(=O)c2ccc(Cl)cc2Cl)[C@@H](Cc2ccccc2)C(=O)O)c1
 O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccccc1Cl
 O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Cl)c1)C(=O)c1ccc(Cl)cc1Cl
 O=C(O)[C@@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccc(Cl)cc1Cl
 O=C(O)[C@H](Cc1ccccc1)N(Cc1ccc(Br)cc1)C(=O)c1ccc(Cl)cc1Cl
 O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(C(F)(F)F)c1)C(=O)c1ccc(Cl)cc1Cl
 O=C(O)[C@H](Cc1ccccc1)N(Cc1ccc[n+]([O-])c1)C(=O)c1ccc(Cl)cc1Cl
 O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc([N+](=O)[O-])c1)C(=O)c1ccc(Cl)cc1Cl
 O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(Br)c1)C(=O)c1ccc(Cl)cc1
 O=C(O)[C@H](Cc1ccccc1)N(Cc1ccc(-c2cc3ccccc3o2)s1)C(=O)c1ccc(Cl)cc1Cl
 
 Constraints:
 1) Lipinski Rule of Five MUST ALL be satisfied:
  - MolWt <= 500
  - NumHDonors <= 5
  - NumHAcceptors <= 10
  - MolLogP <= 5
 2) Additional constraints:
  - MolLogP <= 5.56
  - RotB <= 7.0
 
 Output format:
 Print each satisfying SMILES on its own line, and nothing else.",O=C(O)[C@H](Cc1ccccc1)N(Cc1ccc[n+]([O-])c1)C(=O)c1ccc(Cl)cc1Cl,,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.
 
 Task:
 From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
 You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
 If none satisfy, output an empty line.
 
 SMILES:
 COc1cccc(C2(c3cccc(OC)c3)NC(=N)N(C3CCCCC3)C2=O)c1
 COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(CC3CCOCC3)C2=O)cc1
 CCC(CN1C(=N)NC(c2ccccc2)(c2ccccc2)C1=O)c1ccccc1
 COc1ccc(C2(c3cccc(-c4cccnc4)c3)NC(=N)N(C3CCCCC3)C2=O)cc1
 COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCN(C(=O)OC(C)(C)C)CC3)C2=O)cc1
 COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCOCC3)C2=O)cc1
 N=C1NC(c2ccccc2)(c2cccc(-c3cccnc3)c2)C(=O)N1C1CCCCC1
 COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCN(C)CC3)C2=O)cc1
 COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCNCC3)C2=O)cc1
 COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCCCC3)C2=O)cc1
 
 Constraints:
 1) Lipinski Rule of Five MUST ALL be satisfied:
  - MolWt <= 500
  - NumHDonors <= 5
  - NumHAcceptors <= 10
  - MolLogP <= 5
 2) Additional constraints:
  - RotB <= 5.0
  - MolWt <= 401.98
 
 Output format:
 Print each satisfying SMILES on its own line, and nothing else.","COc1cccc(C2(c3cccc(OC)c3)NC(=N)N(C3CCCCC3)C2=O)c1
 COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCOCC3)C2=O)cc1
 COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCNCC3)C2=O)cc1
 COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(C3CCCCC3)C2=O)cc1",,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.
 
 Task:
 From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
 You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
 If none satisfy, output an empty line.
 
 SMILES:
 CCN1c2ncc(CCc3ccncc3)cc2C(=O)N(C)c2ccc(Cl)nc21
 CCN1c2ncc(CNc3ccccc3)cc2C(=O)N(C)c2ccc(Cl)nc21
 CCN1c2ncc(COc3ccncc3)cc2C(=O)N(C)c2ccc(F)nc21
 CCN1c2ncc(COc3ccccc3)cc2C(=O)N(C)c2ccc(Cl)nc21
 CCN1c2ncc(COc3ccncc3)cc2C(=O)N(C)c2cccnc21
 Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
 CCN1c2ncc(COc3cccc(OC)c3)cc2C(=O)N(C)c2ccc(Cl)nc21
 CCN1c2ncc(COc3ccncc3)cc2C(=O)N(C)c2ccc(Cl)nc21
 CCN1c2ncc(CCc3ccccc3)cc2C(=O)N(C)c2ccc(Cl)nc21
 CCN1c2ncc(COc3cccc(C(=O)O)c3)cc2C(=O)N(C)c2ccc(Cl)nc21
 
 Constraints:
 1) Lipinski Rule of Five MUST ALL be satisfied:
  - MolWt <= 500
  - NumHDonors <= 5
  - NumHAcceptors <= 10
  - MolLogP <= 5
 2) Additional constraints:
  - TPSA >= 61.88
  - MolLogP <= 3.98
 
 Output format:
 Print each satisfying SMILES on its own line, and nothing else.","CCN1c2ncc(COc3ccncc3)cc2C(=O)N(C)c2ccc(F)nc21
 CCN1c2ncc(COc3ccncc3)cc2C(=O)N(C)c2cccnc21
 CCN1c2ncc(COc3ccncc3)cc2C(=O)N(C)c2ccc(Cl)nc21",,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.
 
 Task:
 From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
 You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
 If none satisfy, output an empty line.
 
 SMILES:
 Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(OCCCO)c4)CC3)cc2oc1=O
 CN(C)Cc1ccc(COc2ccc3c(CO)cc(=O)oc3c2)cc1
 Cc1cc2ccc(OCC3CCN(Cc4ccc(CO)cc4)CC3)cc2oc1=O
 Cc1c(C)c2ccc(OCC3CCN(CCCO[N+](=O)[O-])CC3)cc2oc1=O
 Cc1c(C)c2ccc(OCC3CCN(CCCO)CC3)cc2oc1=O
 Cc1c(C)c2ccc(OCC3CCN(CCCCO)CC3)cc2oc1=O
 Cc1cc(=O)oc2cc(OCC3CCN(Cc4cccc(CO)c4)CC3)ccc12
 CN(C)Cc1cc(=O)oc2cc(OCc3ccc(CO)cc3)ccc12
 Cc1c(C)c2ccc(OCC3CCN(Cc4cccc(CO[N+](=O)[O-])c4)CC3)cc2oc1=O
 C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
 
 Constraints:
 1) Lipinski Rule of Five MUST ALL be satisfied:
  - MolWt <= 500
  - NumHDonors <= 5
  - NumHAcceptors <= 10
  - MolLogP <= 5
 2) Additional constraints:
  - MolWt >= 393.48
  - TPSA <= 63.49
 
 Output format:
 Print each satisfying SMILES on its own line, and nothing else.","Cc1cc2ccc(OCC3CCN(Cc4ccc(CO)cc4)CC3)cc2oc1=O
 Cc1cc(=O)oc2cc(OCC3CCN(Cc4cccc(CO)c4)CC3)ccc12",,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.

Task:
From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
If none satisfy, output an empty line.

SMILES:
NS(=O)(=O)c1ccc(NC(=O)Nc2cc(S(N)(=O)=O)c(Cl)cc2Cl)cc1
NS(=O)(=O)c1cc(-c2nnc(-c3ccccc3)[nH]2)c(Cl)cc1Cl
NS(=O)(=O)c1cc(-c2nnc(-c3ccccc3)o2)c(Cl)cc1Cl
NS(=O)(=O)c1cc(C(=O)NNC(=O)c2ccc(Cl)cc2)c(Cl)cc1Cl
NS(=O)(=O)c1cc(-c2nnc(-c3ccc(Cl)cc3)[nH]2)c(Cl)cc1Cl
Cc1ccc(C(=O)NNC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2Cl)cc1
CC(=O)Nc1nnc(S(N)(=O)=O)s1
NS(=O)(=O)c1cc(C(=O)NNC(=S)Nc2ccc(Cl)cc2)c(Cl)cc1Cl
NS(=O)(=O)c1cc(NC(=O)NCc2ccccc2)c(Cl)cc1Cl
NS(=O)(=O)c1cc(C(=O)NNC(=O)c2ccccc2)c(Cl)cc1Cl

Constraints:
1) Lipinski Rule of Five MUST ALL be satisfied:
 - MolWt <= 500
 - NumHDonors <= 5
 - NumHAcceptors <= 10
 - MolLogP <= 5
2) Additional constraints:
 - TPSA <= 108.68
 - HeteroAtoms <= 10.0

Output format:
Print each satisfying SMILES on its own line, and nothing else.","NS(=O)(=O)c1cc(-c2nnc(-c3ccccc3)[nH]2)c(Cl)cc1Cl
NS(=O)(=O)c1cc(-c2nnc(-c3ccccc3)o2)c(Cl)cc1Cl
NS(=O)(=O)c1cc(-c2nnc(-c3ccc(Cl)cc3)[nH]2)c(Cl)cc1Cl
NS(=O)(=O)c1cc(NC(=O)NCc2ccccc2)c(Cl)cc1Cl",,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.

Task:
From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
If none satisfy, output an empty line.

SMILES:
CC(C)c1ccc(C(=O)C2CCN(C(=O)c3cc(O)c(F)cc3F)CC2)cc1
O=C(c1ccc(S(=O)(=O)c2ccccc2)cc1)C1CCN(C(=O)c2cccc(O)c2)CC1
O=C(c1ccc(Sc2ccccc2)cc1)C1CCN(C(=O)c2cc(O)c(F)cc2F)CC1
COc1nn(-c2ccc(NC(=O)OCc3ccccc3)c(C)c2)c(=O)o1
O=C(c1ccc(Sc2ccccc2)cc1)C1CCN(C(=O)c2cc(O)ccc2F)CC1
O=C(c1ccc(Sc2ccccc2)cc1)C1CCN(C(=O)c2cccc(O)c2)CC1
O=C(c1ccc(-c2cn(Cc3ccccc3)nn2)cc1)C1CCN(C(=O)c2cccc(O)c2)CC1
CC(C)c1ccc(C(=O)C2CCN(C(=O)c3cccc(O)c3)CC2)cc1
O=C(c1ccc(Nc2ccccc2)cc1)C1CCN(C(=O)c2cccc(O)c2)CC1
O=C(c1ccc(C2CCCCC2)cc1)C1CCN(C(=O)c2cccc(O)c2)CC1

Constraints:
1) Lipinski Rule of Five MUST ALL be satisfied:
 - MolWt <= 500
 - NumHDonors <= 5
 - NumHAcceptors <= 10
 - MolLogP <= 5
2) Additional constraints:
 - HeteroAtoms <= 6.0
 - AromaticRings <= 3.0

Output format:
Print each satisfying SMILES on its own line, and nothing else.","CC(C)c1ccc(C(=O)C2CCN(C(=O)c3cc(O)c(F)cc3F)CC2)cc1
CC(C)c1ccc(C(=O)C2CCN(C(=O)c3cccc(O)c3)CC2)cc1
O=C(c1ccc(Nc2ccccc2)cc1)C1CCN(C(=O)c2cccc(O)c2)CC1",,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.

Task:
From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
If none satisfy, output an empty line.

SMILES:
COc1cc(CN(CC(C)C)C2c3ccc(Cl)cc3CC2C(=O)O)ccc1OCCN1C(=O)CCC1=O
Cc1cc(CN(CC(C)C)C(CC(=O)O)c2ccc(Cl)cc2Cl)ccc1OCCN1C(=O)CCC1=O
COc1cc(CN(CC(C)C)C(CC(=O)O)c2ccc(Cl)c(Cl)c2)ccc1SCCN1C(=O)CCC1=O
CCCCN(Cc1ccc(OCCN2C(=O)CCC2=O)c(OC)c1)C1c2ccc(Cl)cc2CC1C(=O)O
COc1cc(CN(CC2CCCC2)C(CC(=O)O)c2ccc(Cl)cc2)ccc1SCCN1C(=O)CCC1=O
Cc1cc(CN(CC(C)C)C2c3ccc(Cl)cc3CC2C(=O)O)ccc1OCCN1C(=O)CCC1=O
Cc1cc(CN(CC2CCCC2)C(CC(=O)O)c2ccc(Cl)cc2)ccc1OCCN1C(=O)CCC1=O
Cc1cc(CN(CC2CC2)[C@@H](CC(=O)O)c2ccc(Cl)cc2)ccc1OCCN1C(=O)CCC1=O
CCCCN(Cc1ccc(OCCN2C(=O)CCC2=O)c(C)c1)C(CC(=O)O)c1ccc2c(c1)CCO2
CCCCN(Cc1ccc(OCCn2c(=O)ccn(C)c2=O)c(C)c1)C(CC(=O)O)c1ccc2c(c1)CCO2

Constraints:
1) Lipinski Rule of Five MUST ALL be satisfied:
 - MolWt <= 500
 - NumHDonors <= 5
 - NumHAcceptors <= 10
 - MolLogP <= 5
2) Additional constraints:
 - AromaticRings >= 2.0
 - HeavyAtoms <= 37.0

Output format:
Print each satisfying SMILES on its own line, and nothing else.",Cc1cc(CN(CC2CC2)[C@@H](CC(=O)O)c2ccc(Cl)cc2)ccc1OCCN1C(=O)CCC1=O,,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.

Task:
From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
If none satisfy, output an empty line.

SMILES:
COC(=O)N1CCC(OC(=O)[C@H]2C[C@]3(CN2)C(=O)Nc2ccccc23)CC1
O=C(OC1CCS(=O)(=O)c2ccc(Br)cc21)[C@H]1C[C@]2(CN1)C(=O)Nc1ccccc12
COC(=O)[C@H]1C[C@]2(CN1)C(=O)Nc1ccccc12
O=C(OCc1ccccc1)[C@H]1C[C@]2(CN1)C(=O)Nc1ccccc12
N#Cc1ccc(COC(=O)[C@H]2C[C@]3(CN2)C(=O)Nc2ccccc23)cc1
N#CC1(OC(=O)[C@H]2C[C@]3(CN2)C(=O)Nc2ccccc23)CCCCC1
O=C(OC1CCSc2ccc(Br)cc21)[C@H]1C[C@]2(CN1)C(=O)Nc1ccccc12
O=C(OC1CCOCC1)[C@H]1C[C@]2(CN1)C(=O)Nc1ccccc12
O=C1Nc2ccccc2[C@]12CCNC2
N#Cc1ccc(COC(=O)[C@H]2C[C@]3(CN2)C(=O)Nc2ccccc23)cc1Br

Constraints:
1) Lipinski Rule of Five MUST ALL be satisfied:
 - MolWt <= 500
 - NumHDonors <= 5
 - NumHAcceptors <= 10
 - MolLogP <= 5
2) Additional constraints:
 - FractionCSP3 <= 0.31
 - HeavyAtoms <= 26.4
 - TPSA <= 83.94

Output format:
Print each satisfying SMILES on its own line, and nothing else.",O=C(OCc1ccccc1)[C@H]1C[C@]2(CN1)C(=O)Nc1ccccc12,,,,,,,,,,,,,,,,,,
"You are a cheminformatics assistant.

Task:
From the following SMILES list, output ALL molecules that satisfy ALL constraints below.
You must ONLY choose from the given SMILES and output them EXACTLY as provided (original strings).
If none satisfy, output an empty line.

SMILES:
Cc1nc(Nc2cc(-c3cccc(NS(=O)(=O)c4ccccc4)c3)n[nH]2)cc(N2CCN(C)CC2)n1
O=C(Nc1cc(-c2cccc(NS(=O)(=O)c3ccccc3)c2)n[nH]1)c1ccc(OCCN2CCCC2)cc1
CN1CCN(c2ccc(C(=O)Nc3cc(-c4cccc(NS(=O)(=O)c5cccc(Cl)c5)c4)n[nH]3)cc2)CC1
COc1ccc(S(=O)(=O)Nc2cccc(-c3cc(NC(=O)c4ccc(N5CCN(C)CC5)cc4)[nH]n3)c2)cc1
Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1
CN1CCN(c2ccc(C(=O)Nc3cc(-c4cccc(NS(=O)(=O)c5ccccc5)c4)n[nH]3)cc2)CC1
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
CN1CCN(c2ccc(C(=O)Nc3cc(-c4cccc(NS(=O)(=O)c5ccc(Cl)cc5)c4)n[nH]3)cc2)CC1
Cc1cccc(S(=O)(=O)Nc2cccc(-c3cc(NC(=O)c4ccc(N5CCN(C)CC5)cc4)[nH]n3)c2)c1
CCCS(=O)(=O)Nc1cccc(-c2cc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)[nH]n2)c1

Constraints:
1) Lipinski Rule of Five MUST ALL be satisfied:
 - MolWt <= 500
 - NumHDonors <= 5
 - NumHAcceptors <= 10
 - MolLogP <= 5
2) Additional constraints:
 - TPSA <= 110.43
 - AromaticRings <= 4.0
 - HeteroAtoms <= 11.0

Output format:
Print each satisfying SMILES on its own line, and nothing else.","Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1
CCCS(=O)(=O)Nc1cccc(-c2cc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)[nH]n2)c1",,,,,,,,,,,,,,,,,,
